Tournament Hills Community Association	—	—	emefford@actionlife.com	—
2	Ashwood Apts. #2	12325 Graham Street, Moreno Valley, CA 92557	Pool, Spa	nickscript@cox.net	—
3	Amberwalk HOA	—	—	hoavendor@wsr.net	—
4	AVELINA HOA	—	—	pro.invoices@associa.us	—
5	Atwell Community Assocation PA - 29	—	—	toya.wallace@seabreezemgmt.com	—
6	JACKSON CROSSING HOA	—	—	vendors@waltersmanagement.com	—
7	VISTA DEL LAGO HOA	—	—	—	—
8	BARRINGTON PLACE HOA	—	—	AccountsPayableSC@managementtrust.com	—
9	BelVista Community Assoc.	—	—	info@thealliancemgt.com	—
10	Bungalows at Old School House	—	—	terry@avalonweb.com	—
11	MARKET STREET HOA	—	—	bwilson@drminternet.com	—
12	MESA VERDE HOA	—	—	seabreezeinvoices@payableslockbox.com	—
13	Pala Mesa Villas HOA	—	—	abergen@keystonepacific.com	951-382-3057
14	Paseos HOA at Crown Valley	—	—	ap2@avalonweb.com	—
15	Ashwood Apts. #1	12325 Graham Street, Moreno Valley, CA 92557	Pool, Spa	nickscript@cox.net	—
16	Solera Community Association	—	—	toniburns@theprimeas.com	—
17	Bella Vista HOA	—	—	reina@cmsmgmt.com	—
18	Estrella Community Association	—	—	invoicesbpi@associa.us	—
19	CHARDONNAY HILLS HOA	—	—	AP5@AVALONWEB.COM	—
20	ESPERANZA HOA	—	—	dharle@keystonepacific.com	—
21	TEMECULA LANE HOA	—	—	zfeenstra@powerstonepm.com	949-372-4029
22	WESTRIDGE HOA	—	—	ieinvoices@actionlife.com	—
23	WESTLAKE HOA	—	—	amcginley@powerstonepm.com	—
24	Ponte Winery	35001 Rancho California Road, Temecula, CA 92591	Pool, Spa	jhilton@pontewinery.com	951-397-1300
25	Carter Estates Winery and Resort	34450 Rancho California Road, Temecula, CA 92591	Pool, Spa	cibarra@wineresort.com	858-248-7185
26	Altis Master Association	—	—	jason.kratz@seabreezemgmt.com	—
27	Amelia Square HOA	—	—	jwilliams@prescottmgt.com	—
28	Edenglen HOA	—	—	proinvoices@associa.us	—
29	Grand Park Community Association	—	—	jscott@powerstonepm.com	—
30	Heirloom Farms	—	—	margaret@vintagegroupre.com	—
31	HYDE PARK HOA	—	—	AnnBrooks@theprimeas.com	—
32	La Paloma at Corona Ranch	—	—	flasorsa@5starmgmt.com	—
33	Mountain View HOA	—	—	FSResidentialAPCA@avidbill.com	—
34	PASEO DEL SOL HOA	—	—	paseodirector@waltersmanagement.com	—
35	Prado Homes	—	—	eva@vintagegroupre.com	—
36	Atwell Community Association PA-24 Corridor Park	—	—	toya.wallace@seabreezemgmt.com	—
37	MENIFEE TOWN CENTER HOA	—	—	AccountsPayable@Keystonepacific.com	—
38	Cornerstone HOA	—	—	anyssa.sanchez@fsresidential.com	—
39	Park Place Master (0577)	—	—	FSResidentialAPCA@avidbill.com	—
40	Arrow Station HOA	—	—	seabreezeinvoices@payableslockbox.com	—
41	Rancho Highlands HOA	—	—	AP@AVALONWEB.COM	—
42	River Ranch HOA	—	—	seabreezeinvoices@payableslockbox.com	—
43	Rockport Ranch	—	—	dpetroff@keystonepacific.com	—
44	Roripaugh Hills HOA	—	—	TJ@ELITEMANAGEMENT.COM	951-837-0787
45	RORIPAUGH RANCH	—	—	amy.dankel@fsresidential.com	—
46	Santiago HOA	—	—	acarrillo@actionlife.com	—
47	Serafina HOA	—	—	FSResidentialAPCA@avidbill.com	—
48	Shadetree HOA	—	—	jessica.clifford@manamenttrust.com	—
49	Dakota Apartments	34875 Pourroy Road, Winchester, CA 92596	Pool, Spa, Fountain	manager@rent-dakota.com	951-926-8200
50	Palm Court Apartment Homes	3800 West Devonshire Ave, Hemet, CA 92545	Pool, Spa	kristina.hernandez@wng.com	—
51	FOOTHILL GROVE HOA	—	—	klaframboise@seabreezemgmt.com	951-547-0441
52	Atwell Community Association PA-22	—	—	stephanie.schumann@seabreezemgmt.com	—
53	Horse Creek Ridge HOA	—	—	jeff@vintagegroupre.com	760-363-4811
54	Horsethief Canyon Ranch Master Association	—	—	seabreezeinvoices@payableslockbox.com	—
55	Shady Trails HOA	—	—	jessica.jamieson@fsresidential.com	—
56	Bear Creek MA	—	—	ap@avalonweb.com	800-400-2284
57	Madison Park Villas HOA	—	—	jnuzzo@voitmanagement.com	951-239-4933
58	SOMMERS BEND AA PLANNING AREA ASSOCIATION	—	—	ANNA.MACHADO@SEABREEZEMGMT.COM	—
59	Bedford Master Association/Hudson House	—	—	deanna.casillas@fsresidential.com	—
60	Green River HOA	—	—	marc.m@avalon.web	—
61	South Coast Winery	34843 Rancho California Road, Temecula, CA 92591	Pool, Main Spa, Men's Spa, Women's Spa	—	858-248-7185
62	SUNNYMEAD RANCH PCA	—	—	seabreezeinvoices@payableslockbox.com	—
63	SAUSALITO HOA	—	—	seabreezeinvoices@payableslockbox.com	—
64	Sycamore Creek HOA	—	—	—	—
65	TERRASSA COMMUNITY ASSOCIATION	—	—	FADAMS@KEYSTONEPACIFIC.COM	—
66	The Aspens Riverside	—	—	bbeardshear@farwestapts.com	—
67	The Lakes Community Association	—	—	—	—
68	HERITAGE LAKE HOA	—	—	FSResidentialAPCA@avidbill.com	—
69	TRILOGY AT GLEN IVY M.A.	—	—	FSResidentialAPCA@avidbill.com	—
70	Tuscany Hills LR Corp.	75 Via Scenica, Lake Elsinore, CA 92532	Lap Pool, Spa, Wader, Fountain	customerservice@elitemanagement.com	—
71	The Lodge HOA	—	—	Genevieve.ginelsa@fsresidential.com	951-397-7534
72	Rancho Soleo HOA	—	—	AccountsPayable@Keystonepacific.com	—
73	Skyview Ridge Community Association	—	—	margaret@vintagegroupre.com	—
74	TERRAMOR COMMUNITY ASSOCIATION	—	—	FSResidentialAPCA@avidbill.com	—
75	Villages of Avalon	—	—	jwilliams@prescottmgt.com	951-699-7656
76	Willow Haven HOA	—	—	rina@stonekastle.com	—
77	Willow Springs	—	—	—	—
78	Brookfield Ontario Ranch Master Assoc.	—	—	proinvoices@associa.us	—
79	Fairway Canyon HOA	—	—	Brittany.Bishop@fsresidential.com	—
80	LAKE VILLAGE HOA	—	—	holly.dillenbeck@fsresidential.com	—
81	Solera Diamond Valley HOA	—	—	jocelyne.quiroz@seabreezemgmt.com	—
82	Atwell Community Association PA-26	—	—	Stephanie.Schumann@seabreezemgmt.com	—
83	Meadowview Community	—	—	jennifer.Brewer@fsresidential.com	—
84	Narra Hills	—	—	—	—
85	PRESERVE At Chino	—	—	FSResidentialAPCA@avidbill.com	—
